id,source,title,url,price,city,postal_code,listing_type,property_type,rooms,surface,agency_or_private,description,scraped_at,_fingerprint
c2a8492762f18f610e39da8ab5e5c2c7910a9f3d,leboncoin,Studio 5 rooms 62m2 in Paris,,1367.0,Paris,75000,rent,studio,5.0,62.0,agency,,2025-09-12 09:45:45,218e4792c1fbbbb7bb53ddc852c99b7405cd8a70
4f40c184b7ccd44ff10e1c01935127cb23eea8bf,leboncoin,Apartment 3 rooms 107m2 in Bordeaux,,742810.0,Bordeaux,33000,sale,apartment,3.0,107.0,agency,,2025-09-12 09:45:45,2c66e1cbbe82a0f79cdde90c240faf496cc808d3
e6660944738e65fdd61e855bf878b2e1e49ee96f,leboncoin,Apartment 4 rooms 131m2 in Lille,,453.0,Lille,59000,rent,apartment,4.0,131.0,private,,2025-09-12 09:45:45,7100ff406177636cdcb4b2b2591cb54bed22ef80
1abfb3fb47cb92a262dd08685bdb83ecdaa8ee11,leboncoin,House 1 rooms 128m2 in Marseille,,215169.0,Marseille,13000,sale,house,1.0,128.0,agency,,2025-09-12 09:45:45,7f7778b9f2539b28e3ecbdd4ac548dd374fd095f
ac288bfc6f0cd9e89365a80eac17e212d5540f64,leboncoin,Studio 4 rooms 50m2 in Lyon,,624170.0,Lyon,69000,sale,studio,4.0,50.0,private,,2025-09-12 09:45:45,7780c4181d80464848852d87d06829375b8cd70c
2bb5b5a7943343751d04a8139bb26af44c3aad5b,leboncoin,House 5 rooms 119m2 in Lyon,,2251.0,Lyon,69000,rent,house,5.0,119.0,agency,,2025-09-12 09:45:45,e96afbd8b60fcdb79f72e853c2ccc56036f15dad
8e8e8bbadbbec6d3d6f0454a6f9fad4cb2c84d76,leboncoin,Apartment 4 rooms 84m2 in Lyon,,759327.0,Lyon,69000,sale,apartment,4.0,84.0,private,,2025-09-12 09:45:45,feb7fa4f2fc9c2e57d406d28244e972a885d3e2c
cf89a77988f471b167cb693f7c216461edae4f6a,leboncoin,House 4 rooms 40m2 in Paris,,2837.0,Paris,75000,rent,house,4.0,40.0,agency,,2025-09-12 09:45:45,1cb609f8c144c20055ee14b5114946fcf043196b
8ca2a41185fbe6ea6cacc090906b4007fb883cc4,leboncoin,Studio 5 rooms 30m2 in Lille,,882492.0,Lille,59000,sale,studio,5.0,30.0,agency,,2025-09-12 09:52:03,14dca51f38816c683c59e92cbd01878cf612b0a0
e7329cbe058bf441d89067ddaebbd59795bea336,leboncoin,Studio 4 rooms 22m2 in Paris,,769738.0,Paris,75000,sale,studio,4.0,22.0,private,,2025-09-12 09:52:03,df2ff81610605b0ddc3be1ef7a3ab70794ffd6df
b6a53165241c3a6a974445be005da6c2f783e64b,leboncoin,House 1 rooms 135m2 in Lyon,,2784.0,Lyon,69000,rent,house,1.0,135.0,private,,2025-09-12 09:52:03,7fbea0379b2903c555d7c3972ad36e8850eb32e3
e9cafbb395f25ac30464cafc538de5fd98170a1a,leboncoin,Apartment 2 rooms 100m2 in Paris,,2310.0,Paris,75000,rent,apartment,2.0,100.0,private,,2025-09-12 09:52:03,eab2dc50f9360c3147eaf3f2d8cf9320b8dd447c
6844d3045bd4fae35b0dfa21ae7f72b4fc98ad94,leboncoin,Studio 1 rooms 102m2 in Toulouse,,1940.0,Toulouse,31000,rent,studio,1.0,102.0,agency,,2025-09-12 09:52:03,219c97bb0298b63fd5ebe14b8f395c4d25213d57
820bb128fa12e601a71df69622bbd75b3e978e2f,leboncoin,Apartment 5 rooms 105m2 in Lille,,2236.0,Lille,59000,rent,apartment,5.0,105.0,private,,2025-09-12 09:52:03,4b5cca020563ebccdf270c055f02017cca586639
4882fc83779e421aec9041aeb999065ba5266e1c,leboncoin,Studio 4 rooms 101m2 in Lille,,2972.0,Lille,59000,rent,studio,4.0,101.0,agency,,2025-09-12 09:52:03,64b93444f78dfee4ec71780ed4a3a3ffdbf6d34d
e46e9ba9aac54590aa9eb44251a166c84c30aff6,leboncoin,Apartment 1 rooms 103m2 in Toulouse,,960413.0,Toulouse,31000,sale,apartment,1.0,103.0,agency,,2025-09-12 09:52:03,5213483fa217e73f1df2f3351485cb3e4da82ba6
8882b6bfc0abd391f03a31e474e177ddad15a475,leboncoin,Apartment 2 rooms 63m2 in Marseille,,2628.0,Marseille,13000,rent,apartment,2.0,63.0,agency,,2025-09-12 09:52:03,3c2b86c7dc4eb9bccba44bc025f1f28ba182633f
2e170fe384de4376af6f58a22270d2970a07137a,leboncoin,House 1 rooms 95m2 in Bordeaux,,3102.0,Bordeaux,33000,rent,house,1.0,95.0,private,,2025-09-12 09:52:03,0a66d3172b60fda392f20db2c843efb293e921e2
ff155439ce9c2fbd3a8a00ce29990be32a217849,leboncoin,House 3 rooms 19m2 in Paris,,1675.0,Paris,75000,rent,house,3.0,19.0,private,,2025-09-12 09:52:03,fa61908335b66b0fddfd4c76b7d988e1bbe5889b
adfec17f400bc70501c5b757543fc88ff073f65c,leboncoin,House 5 rooms 67m2 in Bordeaux,,1987.0,Bordeaux,33000,rent,house,5.0,67.0,agency,,2025-09-12 09:52:03,5f5464ed2a3d14b5cc0c5b12b4f748d359397c1e
865a4c87ec00842461c1f90512ac2a83d5789c59,leboncoin,House 2 rooms 86m2 in Toulouse,,966225.0,Toulouse,31000,sale,house,2.0,86.0,private,,2025-09-12 09:52:03,173f3aac6be604d2f5beb3c3d0e1e5955fef1edb
ff42002ef010d755261e99ab5958b9c3b1e646fb,leboncoin,House 2 rooms 107m2 in Lyon,,1437.0,Lyon,69000,rent,house,2.0,107.0,agency,,2025-09-12 09:52:03,b1b8d748e6ad7b6aed09d06329d6223d8e37e617
